URL,name
https://id.taipei/tpcd/,TaipeiPASS．台北通
https://smartcity.taipei/,臺北市智慧城市開放平台網站
https://smartcity.taipei/en/,臺北市智慧城市開放平台網站(英文)
https://ivoting.taipei/,臺北市政府i-Voting網路投票
https://hi.taipei/,.taipei頂級網域管理局網站
https://tuic.gov.taipei/,臺北大數據中心官網
https://service.gov.taipei/,市民服務大平臺
https://data.taipei/,臺北市資料大平臺
https://pay.taipei/v2/,智慧支付平台
https://wifi.taipei/En/Index.aspx,Taipei Free 臺北公眾區免費無線上網服務網站
https://wifi.taipei/,Taipei Free 臺北公眾區免費無線上網服務網站
https://3d.taipei/,智慧城市3D臺北
https://techpro.tp.edu.tw/,臺北市科技教育網
https://cooc.tp.edu.tw/,臺北酷課雲入口網
https://ono.tp.edu.tw/,臺北市酷課學園網路課程
https://dpe.tp.edu.tw/nss/p/index,臺北市防災教育資訊網
https://eatingright.tp.edu.tw/html/index.php,臺北市學校午餐營養探索樂園
https://ee.tp.edu.tw/,臺北市中小學環境教育資訊網
https://tpefweb.tp.edu.tw/,臺北市教育財團法人網
https://www.ccwt.tp.edu.tw/,臺北市社區大學聯網
https://kids.gov.taipei/,臺北市學前教育資源網
https://per-alarm.tp.edu.tw/,臺北市國小學生防身警報器資訊專網
https://act.tp.edu.tw/,臺北兒童月
https://www.newres.tp.edu.tw/,臺北市政府教育局新住民子女教育資訊網
https://ecamp.tp.edu.tw/,臺北市英語教學資源網
https://tten.tp.edu.tw/,臺北市國小教師精進教學網
https://teecid.tp.edu.tw/,臺北市實驗教育創新發展中心網站
https://pthg.tp.edu.tw/,臺北市本土語言教學資源庫
https://reading.tp.edu.tw/,兒童深耕閱讀教育網
https://e-work.tp.edu.tw/nss/p/index,臺北市國中課程與教學發展工作圈
https://eduwork.tp.edu.tw/,臺北市高中課程與教學發展工作圈
https://12basic.tp.edu.tw/,臺北市十二年國民基本教育資訊網
https://www.gender.tp.edu.tw/,臺北市性別平等教育網站
https://www.doe.gov.taipei/,台北市政府教育局(中文)
https://english.doe.gov.taipei/,台北市政府教育局(英文)
https://english.doit.gov.taipei/,臺北市政府資訊局
https://doit.gov.taipei/,臺北市政府資訊局
https://canonprofit.gov.taipei/,臺北市文化藝術財團法人會計查核與資料系統
https://taipeihrtour.gov.taipei/,台北市人權歷史場址線上導覽資料建置(白色恐怖)
https://tpbusker.gov.taipei/,臺北市街頭藝人登記及展演申請平台展演場地申請
https://oldhouse.taipei/,老房子文化運動官網
https://cultureexpress.taipei/,文化快遞入口網站
https://hotspringmuseum.taipei/,北投溫泉博物館
https://228memorialmuseum.gov.taipei/,台北二二八紀念館
https://tncmmm.gov.taipei/,臺灣新文化運動紀念館
https://publicart.taipei/,公共藝術網站
https://longshan-b2.taipei/home/zh-tw,龍山文創基地
https://english.culture.gov.taipei/,臺北市政府文化局英文網站
https://culture.gov.taipei/,臺北市政府文化局
https://www.oge.gov.taipei/,臺北市性別平等辦公室
https://elders.gov.taipei/Default.aspx,臺北與我好好慢老
https://newcv101.gov.taipei/,臺北市志工管理整合平臺
